,Tweet,stweets,puretext,emojis,c_emojis,Affect Dimension
2843,i lots roller skate new different sizes every single screw  😭 ,i lots roller skate new different sizes every single screw   😭  ,i lots roller skate new different sizes every single screw   ,😭,😭,3
2851,i cant even breathe still up that chronic  😤 ,i cant even breathe still up that chronic   😤  ,i cant even breathe still up that chronic   ,😤,😤,3
2852,twitter basically pretty snap chat  🤔 ,twitter basically pretty snap chat   🤔  ,twitter basically pretty snap chat   ,🤔,,3
2859,yea going i work thats ridiculous  😭  super,yea going i work thats ridiculous   😭   super,yea going i work thats ridiculous    super,😭,😭,3
2860,getting mad like like  🤣 ,getting mad like like   🤣  ,getting mad like like   ,🤣,,3
2873,watching night smoke tense sound effects lively commentary boring dull  🙈 ,watching night smoke tense sound effects lively commentary boring dull   🙈  ,watching night smoke tense sound effects lively commentary boring dull   ,🙈,,3
2893,you wrong dont fret  😟 ,you wrong dont fret   😟  ,you wrong dont fret   ,😟,,3
2899,she right burn alive  😡  better burn ur  😠 ,she right burn alive   😡   better burn ur   😠  ,she right burn alive    better burn ur   ,😡 😠,😡 😠,3
2902,offended poor coffee  😉 ,offended poor coffee   😉  ,offended poor coffee   ,😉,😉,3
2904,logged its gone  😑 ,logged its gone   😑  ,logged its gone   ,😑,😑,3
2905,a woman certain doesnt want what exactly discuss  😠 ,a woman certain doesnt want what exactly discuss   😠  ,a woman certain doesnt want what exactly discuss   ,😠,😠,3
2909,i hope didnt scare people figure midnight  😂 ,i hope didnt scare people figure midnight   😂  ,i hope didnt scare people figure midnight   ,😂,😂,3
2915,i love seriously thats revenge permanent life sure worth fame  🤔 ,i love seriously thats revenge permanent life sure worth fame   🤔  ,i love seriously thats revenge permanent life sure worth fame   ,🤔,,3
2941,actually  😡 ,actually   😡  ,actually   ,😡,😡,3
2951,red mad like all star relief pitcher baseman left game  🤷🏻‍♀️ ,red mad like all star relief pitcher baseman left game   🤷  🏻 ‍ ♀ ️ ,red mad like all star relief pitcher baseman left game  ‍️ ,🤷 🏻 ♀,,3
2953,must bitter people  😂 ,must bitter people   😂  ,must bitter people   ,😂,😂,3
2956,fast furious marathon soon  ✌🏻 ,fast furious marathon soon   ✌  🏻  ,fast furious marathon soon   ,✌ 🏻,,3
2966,thankful mother help watering downside  😣  ouch snap crackle pop rice  😀 ,thankful mother help watering downside   😣   ouch snap crackle pop rice   😀  ,thankful mother help watering downside    ouch snap crackle pop rice   ,😣 😀,😀,3
2970,i didnt we went got local instead  😄 ,i didnt we went got local instead   😄  ,i didnt we went got local instead   ,😄,😄,3
2973,all fake outrage need stop  🤣 ,all fake outrage need stop   🤣  ,all fake outrage need stop   ,🤣,,3
2977,the lack humanity seen today sickening  😠 ,the lack humanity seen today sickening   😠  ,the lack humanity seen today sickening   ,😠,😠,3
2981, 😡 ,  😡  ,  ,😡,😡,3
2985,when working shopping prime instead  😦 ,when working shopping prime instead   😦  ,when working shopping prime instead   ,😦,😦,3
2987,i hate morning shift  😠 ,i hate morning shift   😠  ,i hate morning shift   ,😠,😠,3
2988,i lost i help desperate  😡 ,i lost i help desperate   😡  ,i lost i help desperate   ,😡,😡,3
2996,today great start  🙄 ,today great start   🙄  ,today great start   ,🙄,,3
3001,working video i fix terrible audio crap  🤣 ,working video i fix terrible audio crap   🤣  ,working video i fix terrible audio crap   ,🤣,,3
3006,why i awake i sleep hour  😤 ,why i awake i sleep hour   😤  ,why i awake i sleep hour   ,😤,😤,3
3011,big sized clothes use bad haircut  😊  real big rage  🍑 ,big sized clothes use bad haircut   😊   real big rage   🍑  ,big sized clothes use bad haircut    real big rage   ,😊 🍑,😊,3
3023,that rap small prepare performance cute crap  😂 ,that rap small prepare performance cute crap   😂  ,that rap small prepare performance cute crap   ,😂,😂,3
3032,yeah id terminate contract i similar problem place i told i business  😠 ,yeah id terminate contract i similar problem place i told i business   😠  ,yeah id terminate contract i similar problem place i told i business   ,😠,😠,3
3037,blowing  😤 ,blowing   😤  ,blowing   ,😤,😤,3
3049,why i mad easily  😐 ,why i mad easily   😐  ,why i mad easily   ,😐,😐,3
3054,i try offend bad thats i start getting  😂 ,i try offend bad thats i start getting   😂  ,i try offend bad thats i start getting   ,😂,😂,3
3057,i woke moody gon die today  😠 ,i woke moody gon die today   😠  ,i woke moody gon die today   ,😠,😠,3
3067,wrong u  😤 ,wrong u   😤  ,wrong u   ,😤,😤,3
3070,i so one away beating trading card game concede game  🙃 ,i so one away beating trading card game concede game   🙃  ,i so one away beating trading card game concede game   ,🙃,,3
3081,so exhausted i  😭 ,so exhausted i   😭  ,so exhausted i   ,😭,😭,3
3087,everyday new  😤 ,everyday new   😤  ,everyday new   ,😤,😤,3
3108,one hour great hour welcome goodyear  😠 ,one hour great hour welcome goodyear   😠  ,one hour great hour welcome goodyear   ,😠,😠,3
3130,best great watch u big sir tremendous boom boom  😍 ,best great watch u big sir tremendous boom boom   😍  ,best great watch u big sir tremendous boom boom   ,😍,😍,3
3131, 😡  illegal parking  🚗  thread,  😡   illegal parking   🚗   thread,   illegal parking    thread,😡 🚗,😡,3
3140,run  😡 ,run   😡  ,run   ,😡,😡,3
3141,i think i anger  😐 ,i think i anger   😐  ,i think i anger   ,😐,😐,3
3144,low key molly like point prove  😂  insecure,low key molly like point prove   😂   insecure,low key molly like point prove    insecure,😂,😂,3
3149,i wonder married  😠  men came,i wonder married   😠   men came,i wonder married    men came,😠,😠,3
3161,know ranting days dub poorly  😠 ,know ranting days dub poorly   😠  ,know ranting days dub poorly   ,😠,😠,3
3169,my main concern wife thats stuck strong  😟 ,my main concern wife thats stuck strong   😟  ,my main concern wife thats stuck strong   ,😟,,3
3180,i know black people but white people it doesnt offend black people  👐 ,i know black people but white people it doesnt offend black people   👐  ,i know black people but white people it doesnt offend black people   ,👐,,3
3184,it wasnt enough  😢 ,it wasnt enough   😢  ,it wasnt enough   ,😢,😢,3
3193,i wished  😭 ,i wished   😭  ,i wished   ,😭,😭,3
3198,i thought cried relative death know truth i burst  😂 ,i thought cried relative death know truth i burst   😂  ,i thought cried relative death know truth i burst   ,😂,😂,3
3200,and let depression stage  🙃 ,and let depression stage   🙃  ,and let depression stage   ,🙃,,3
3228,time create ghost filter  👻 ,time create ghost filter   👻  ,time create ghost filter   ,👻,,3
3229,man i hate i aint watch  😤 ,man i hate i aint watch   😤  ,man i hate i aint watch   ,😤,😤,3
3233,yep shopping so exciting  😠 ,yep shopping so exciting   😠  ,yep shopping so exciting   ,😠,😠,3
3236,probably choice frankly kind  😲 ,probably choice frankly kind   😲  ,probably choice frankly kind   ,😲,,3
3243,some people irrational  😒 ,some people irrational   😒  ,some people irrational   ,😒,,3
3252,have occupational place drug test yet dont know heck going just great blah  😡 ,have occupational place drug test yet dont know heck going just great blah   😡  ,have occupational place drug test yet dont know heck going just great blah   ,😡,😡,3
20203,u havent learned swim  🤔  working buoyant  😞  swimming scary  🤔  u swim  😞 ,u havent learned swim   🤔   working buoyant   😞   swimming scary   🤔   u swim   😞  ,u havent learned swim    working buoyant    swimming scary    u swim   ,🤔 😞 🤔 😞,,1
20216,i get up and dance bed everyone wake  😯  hyper,i get up and dance bed everyone wake   😯   hyper,i get up and dance bed everyone wake    hyper,😯,,1
20221,watched great wall hilarious  😆 ,watched great wall hilarious   😆  ,watched great wall hilarious   ,😆,😆,1
20222,i you night  😘  hilarious,i you night   😘   hilarious,i you night    hilarious,😘,😘,1
20239,aw theres young fox outside grass playful little stretch  🙈  cute  🐺 ,aw theres young fox outside grass playful little stretch   🙈   cute   🐺  ,aw theres young fox outside grass playful little stretch    cute   ,🙈 🐺,,1
20250,attempt happy  🕋 ,attempt happy   🕋  ,attempt happy   ,🕋,,1
20266,thank definitely feeling better today cheer  ☺️ ,thank definitely feeling better today cheer   ☺ ️ ,thank definitely feeling better today cheer  ️ ,☺,☺,1
20287,you making smile my birthday days  🎉  mind following gift  🎁 ,you making smile my birthday days   🎉   mind following gift   🎁  ,you making smile my birthday days    mind following gift   ,🎉 🎁,,1
20288,will old free time game comes  😂   😂  lively,will old free time game comes   😂     😂   lively,will old free time game comes       lively,😂 😂,😂 😂,1
20293,why i watching glee week i addicted  🙄  glee gleek,why i watching glee week i addicted   🙄   glee gleek,why i watching glee week i addicted    glee gleek,🙄,,1
20301,far cheery liking  ✋🏻 ,far cheery liking   ✋  🏻  ,far cheery liking   ,✋ 🏻,,1
20318,cheer  ☺️ ,cheer   ☺ ️ ,cheer  ️ ,☺,☺,1
20334,pencil today havent  ✏️ ,pencil today havent   ✏ ️ ,pencil today havent  ️ ,✏,,1
20341,literally i ago later  😂 ,literally i ago later   😂  ,literally i ago later   ,😂,😂,1
20357,and girl i love perfume theres bout  🎧 ,and girl i love perfume theres bout   🎧  ,and girl i love perfume theres bout   ,🎧,,1
20410,fun person much hilarity usual thank  ❤️ ,fun person much hilarity usual thank   ❤ ️ ,fun person much hilarity usual thank  ️ ,❤,❤,1
20447,brilliant seeing horse tomorrow cheer  😄 ,brilliant seeing horse tomorrow cheer   😄  ,brilliant seeing horse tomorrow cheer   ,😄,😄,1
20451,happy birthday sweety sweet hope u wonderful day joyful year better u  ♥ ,happy birthday sweety sweet hope u wonderful day joyful year better u   ♥  ,happy birthday sweety sweet hope u wonderful day joyful year better u   ,♥,♥,1
20458,definitely  😂 ,definitely   😂  ,definitely   ,😂,😂,1
20468,smiling thats happy  😂 ,smiling thats happy   😂  ,smiling thats happy   ,😂,😂,1
20470,god voice optimism moment think  ✨ ,god voice optimism moment think   ✨  ,god voice optimism moment think   ,✨,,1
20471,thank oh there rejoicing  ✨ ,thank oh there rejoicing   ✨  ,thank oh there rejoicing   ,✨,,1
20479,i totally understood point need better messenger laughter  😡 ,i totally understood point need better messenger laughter   😡  ,i totally understood point need better messenger laughter   ,😡,😡,1
20482, 😳  smile,  😳   smile,   smile,😳,,1
20492,you wonderful your singing prowess phenomenal damn elated watch act  🤗 ,you wonderful your singing prowess phenomenal damn elated watch act   🤗  ,you wonderful your singing prowess phenomenal damn elated watch act   ,🤗,,1
20514,oh dear evening absolute hilarity i dont think i long time  😂 ,oh dear evening absolute hilarity i dont think i long time   😂  ,oh dear evening absolute hilarity i dont think i long time   ,😂,😂,1
20518,literally i ago later  😂  hilarious,literally i ago later   😂   hilarious,literally i ago later    hilarious,😂,😂,1
20575,reason i smile everyday  💯 ,reason i smile everyday   💯  ,reason i smile everyday   ,💯,,1
20586, ♥  princess fitness haircut smile,  ♥   princess fitness haircut smile,   princess fitness haircut smile,♥,♥,1
20588, 😘 ,  😘  ,  ,😘,😘,1
20617,and girl i love perfume theres bout  🎧  breezy,and girl i love perfume theres bout   🎧   breezy,and girl i love perfume theres bout    breezy,🎧,,1
20637,what went  😂 ,what went   😂  ,what went   ,😂,😂,1
